#pos.x,pos.y,pos.z
2.820705862699138811e-01,1.421574775797819212e+00,6.599999999999999645e+00
3.871348306094897773e-01,1.479515996700736080e+00,6.599999999999999645e+00
4.954844037827880743e-01,1.531052881662196219e+00,6.599999999999999645e+00
6.067293643298827810e-01,1.575999953549495514e+00,6.599999999999999645e+00
7.204693505229452510e-01,1.614195451440852525e+00,6.599999999999999645e+00
8.362950212361257574e-01,1.645501912790046095e+00,6.599999999999999645e+00
9.537895291315712232e-01,1.669806668143140493e+00,6.599999999999999645e+00
1.072530020859700395e+00,1.687022246626850741e+00,6.599999999999999645e+00
1.192089158874634958e+00,1.697086690749229243e+00,6.599999999999999645e+00
1.312036659387896709e+00,1.699963779379730644e+00,6.599999999999999645e+00
1.431940840925393976e+00,1.695643158106168169e+00,6.599999999999999645e+00
1.551370177914569437e+00,1.684140376499415392e+00,6.599999999999999645e+00
1.669894853710468752e+00,1.665496832151743378e+00,6.599999999999999645e+00
1.787088307471516924e+00,1.639779621690191869e+00,6.599999999999999645e+00
1.902528769317916923e+00,1.607081299301167832e+00,6.599999999999999645e+00
2.015800778247760050e+00,1.567519543635320867e+00,6.599999999999999645e+00
2.126496677347990083e+00,1.521236734291478987e+00,6.599999999999999645e+00
2.234218080919071259e+00,1.468399439403843765e+00,6.599999999999999645e+00
2.338577308233304120e+00,1.409197816176579243e+00,6.599999999999999645e+00
2.439198778766798803e+00,1.343844926523222849e+00,6.599999999999999645e+00
2.535720363883783079e+00,1.272575970273874812e+00,6.599999999999999645e+00
2.627794690108639308e+00,1.195647438709795951e+00,6.599999999999999645e+00
2.715090389295298223e+00,1.113336191471772318e+00,6.599999999999999645e+00
2.797293291194730358e+00,1.025938460164380395e+00,6.599999999999999645e+00
2.874107554128578990e+00,9.337687822421031347e-01,6.599999999999999645e+00
2.945256729699731846e+00,8.371588690141529288e-01,6.599999999999999645e+00
3.010484757708021597e+00,7.364564118419640870e-01,6.599999999999999645e+00
3.069556887690436220e+00,6.320238308257527526e-01,6.599999999999999645e+00
3.122260523769283758e+00,5.242369704835234678e-01,6.599999999999999645e+00
3.168405989767777431e+00,4.134837471166674661e-01,6.599999999999999645e+00
3.207827211839445969e+00,3.001627527301767850e-01,6.599999999999999645e+00
3.240382316154642339e+00,1.846818205318543071e-01,6.599999999999999645e+00
3.265954139493125741e+00,6.745655717317261546e-02,6.599999999999999645e+00
3.284450650905132996e+00,-5.109115298587003917e-02,6.599999999999999645e+00
3.295805282923415902e+00,-1.705346662048652928e-01,6.599999999999999645e+00
3.299977171134240272e+00,-2.904441148197401956e-01,6.599999999999999645e+00
3.296951301245145238e+00,-4.103879543021463627e-01,6.599999999999999645e+00
3.286738563120184420e+00,-5.299345163537501069e-01,6.599999999999999645e+00
3.269375711588173861e+00,-6.486535624459603966e-01,6.599999999999999645e+00
3.244925234165001005e+00,-7.661178322140289598e-01,6.599999999999999645e+00
3.213475126166040585e+00,-8.819045811329807583e-01,6.599999999999999645e+00
3.175138574018047777e+00,-9.955971019413915046e-01,6.599999999999999645e+00
3.130053547910247591e+00,-1.106786224337539704e+00,6.599999999999999645e+00
3.078382305250642048e+00,-1.215071787550642268e+00,6.599999999999999645e+00
3.020310806714559870e+00,-1.320064080487507452e+00,6.599999999999999645e+00
2.956048046987038269e+00,-1.421385244271632819e+00,6.599999999999999645e+00
2.885825302607643916e+00,-1.518670632127121944e+00,6.599999999999999645e+00
2.809895299624678877e+00,-1.611570121713306492e+00,6.599999999999999645e+00
2.728531304054318429e+00,-1.699749375187086020e+00,6.599999999999999645e+00
2.642026138418044567e+00,-1.782891042458121467e+00,6.599999999999999645e+00
2.550691127897779520e+00,-1.860695903306463173e+00,6.599999999999999645e+00
2.454854979901421430e+00,-1.932883944252223873e+00,6.599999999999999645e+00
2.354862601071136652e+00,-1.999195366301728338e+00,6.599999999999999645e+00
2.251073855991903017e+00,-2.059391519943340576e+00,6.599999999999999645e+00
2.143862272067611485e+00,-2.113255764027995642e+00,6.599999999999999645e+00
2.033613695225772400e+00,-2.160594245443392403e+00,6.599999999999999645e+00
1.920724901288840991e+00,-2.201236596775860477e+00,6.599999999999999645e+00
1.805602168009722064e+00,-2.235036549449075594e+00,6.599999999999999645e+00
1.688659812910587421e+00,-2.261872460132982710e+00,6.599999999999999645e+00
1.570318702187205151e+00,-2.281647748528425890e+00,6.599999999999999645e+00
1.451004736045115928e+00,-2.294291244951930153e+00,6.599999999999999645e+00
1.331147315918810081e+00,-2.299757446469708366e+00,6.599999999999999645e+00
1.211177799090260798e+00,-2.298026680659085663e+00,6.599999999999999645e+00
1.091527946268520122e+00,-2.289105176407978171e+00,6.599999999999999645e+00
9.726283677174105691e-01,-2.273025041497620968e+00,6.599999999999999645e+00
